Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
03076,72,1,1,5.92,3.805,5.92,5.93
03079,67,1,1,4.625,NA,5.23,NA
03081,61,1,1,5.2,6,4.93,7.13
03087,80,1,1,4.34,NA,4.9399999999999995,5.09
03089,59,1,1,5.145,5.6850000000000005,5.6899999999999995,5.23
03102,64,1,1,5.25,5.925,4.82,4.89
03103,48,1,1,4.5600000000000005,1.9449999999999998,5.26,5.32
03105,72,1,1,5.765,4.76,6.38,5.46
03106,51,1,1,4.73,4.41,5.5600000000000005,5.66
03108,74,1,1,NA,2.3600000000000003,NA,2.84
03109,75,1,1,5.965,NA,5.11,5.64
03110,71,1,1,NA,5.195,6.529999999999999,4.73
03113,70,1,1,4.029999999999999,4.445,5.08,5.12
03120,68,1,1,5.505,4.83,5.9399999999999995,4.93
03126,47,1,1,4.625,NA,4.91,NA
03128,37,1,1,4.905,4.605,5.02,4.46
03130,75,1,1,4.27,5.27,4.630000000000001,5.15
03132,56,1,1,5.465,6.775,6.91,8.12
03134,51,1,1,3.7299999999999995,5.61,6.73,6.02
03142,67,1,1,4.3,4.779999999999999,5.01,4.77
03147,66,1,1,NA,3.895,NA,4.57
03156,38,1,1,2.6199999999999997,4.43,5.86,5.029999999999999
03158,46,1,1,5.835,3.85,6.08,5.88
03178,71,2,3,3.5149999999999997,6.235,4.2,5.73
03179,73,2,3,5.77,NA,5.16,NA
03181,65,2,3,4.99,5.09,2.94,5.73
03184,35,2,3,5.195,2.665,5.58,4.5
03185,20,2,3,NA,3.775,NA,4.53
03187,67,2,3,4.63,4.825,4.73,4.99
03190,52,2,3,NA,6.66,NA,7.55
03192,62,2,3,5.765,5.12,4.970000000000001,5.0600000000000005
03193,69,2,3,4.4399999999999995,3.9850000000000003,4.4399999999999995,6.1899999999999995
03197,78,2,3,5.965,4.605,5.92,6.02
03201,69,2,3,5.51,3.74,4.61,4.970000000000001
03202,51,2,3,NA,4.67,NA,5.85
03203,64,2,3,4.62,NA,5.88,NA
03204,64,2,3,5.645,5.385000000000001,5.59,5.91
03206,54,2,3,2.795,4.845000000000001,2.6300000000000003,6.01
03211,62,2,3,4.165,3.69,3.42,4.6899999999999995
03217,56,2,3,5.82,4.7,5.4,4.33
03219,64,2,3,5.720000000000001,4.8149999999999995,5.71,4.85
03225,73,2,3,5.245,4.8149999999999995,4.95,3.93
03227,57,2,3,NA,6.87,NA,4.65
03229,41,2,3,4.43,4.635,5.25,4.57
03235,58,2,3,4.494999999999999,4.535,5.49,5.3
03236,32,2,3,5.5,4.215,5.4,4.9
03239,49,2,3,4.05,4.71,5.22,4.25
03240,66,2,3,5.14,5.655,6.52,6.03
03243,59,2,3,5.685,NA,5.79,4.5600000000000005
03248,64,2,3,5.21,4.765,4.76,5.529999999999999
03251,73,2,3,4.41,NA,4.66,NA
03251,74,2,3,NA,6.61,NA,6.2
03252,45,2,3,4.005,4.64,3.4699999999999998,5.08
03256,68,2,3,NA,NA,4.77,NA
03263,67,2,3,5.665,4.88,5.529999999999999,5.720000000000001
03265,71,2,3,6.52,5.84,5.55,4.87
03266,66,2,3,4.64,5.055,5,5.22
03267,34,2,3,4.64,4.045,4.32,4.970000000000001
03268,66,2,3,5.705,2.6900000000000004,5.98,5.1
03277,18,2,3,4.445,4.46,5.6899999999999995,6.02
03282,64,2,3,NA,NA,5.6,NA
03285,66,2,3,6.925,6.07,5.87,4.62
03291,65,2,3,5.385,7.04,4.21,6.24
03292,56,2,3,3.8600000000000003,2.6199999999999997,4.1899999999999995,4.58
03301,61,2,3,NA,5.2,NA,6.029999999999999
03306,72,2,3,5.485,6.07,3.63,4.529999999999999
03307,71,2,3,5.005,5.345,4.83,6.28
03308,63,2,3,NA,NA,NA,6.17
03312,38,2,3,5.725,2.585,4.8,4.41
03315,55,2,3,5.495,NA,5.37,NA
03316,66,2,3,6.13,5.54,3.9699999999999998,4.54
03320,41,2,3,3.7600000000000002,4.739999999999999,4.5,4.45
03324,66,2,3,4.46,NA,5.49,NA
03334,63,2,1,4.51,5.380000000000001,4.55,5.3100000000000005
03335,62,2,1,4.47,5.37,3.8500000000000005,4.77
03344,38,2,1,2.6300000000000003,5.105,4.3,4.66
03345,33,2,1,3.82,5.41,5.3,4.05
03346,49,2,1,4.6899999999999995,3.9249999999999994,4.23,4.71
03355,67,2,1,4.869999999999999,4.43,5.470000000000001,5.29
03356,37,2,1,NA,1.8900000000000001,NA,2.32
03357,46,2,1,4.39,NA,3.77,NA
03366,26,2,1,NA,3.58,NA,5.34
03367,55,2,1,5.07,4.975,4.6899999999999995,4.82
03370,28,2,1,4.095000000000001,NA,4.8100000000000005,NA
03370,27,2,1,NA,4.6850000000000005,NA,5.34
03375,29,2,1,NA,2.0200000000000005,NA,4.5
03378,69,2,1,3.6100000000000003,4.535,4.46,5.11
03383,51,2,1,4.74,4.865,5.45,5.51
03384,50,2,1,5.295,3.57,5.18,5.68
03389,54,2,1,4.415,NA,5.08,NA
03391,66,2,1,4.91,3.12,5.84,5.16
03394,67,2,1,5.075,3.9599999999999995,4.96,5.36
03396,72,2,1,4.335,4.655,4.57,4.42
03399,46,2,1,4.66,5.06,5.24,5.77
03400,54,2,1,5.005,3.62,5.42,5.67
03402,60,2,1,5.925,6.12,5.86,4.82
03403,65,2,1,5.94,6.48,6.8,6.6899999999999995
03406,59,2,1,NA,4.39,NA,3.83
03407,64,2,1,3.665,5.1,3.7800000000000002,4.9
03416,72,2,1,5.875,4.775,5.87,7.0600000000000005
03419,61,2,1,4.8,5.2,5.4399999999999995,5.71
03423,49,2,1,4.625,4.18,5.33,5.470000000000001
03424,36,2,1,2.49,2.205,4.75,3.54
03429,39,2,1,4.985,3.2299999999999995,5.11,2.85
03430,29,2,1,4.66,4.305,5.71,4.17
03431,56,2,1,3.4,4.405,4.08,5.51
03434,47,2,1,4.59,NA,5.93,NA
03436,35,2,1,6.01,5.555,5.720000000000001,5.09
03437,22,2,1,5.16,4.73,4.84,5.279999999999999
03439,21,2,1,NA,4.23,NA,7.83
03444,63,2,1,4.27,4.49,4.68,4.48
03446,42,2,1,NA,3.375,NA,5.67
03449,63,2,1,NA,NA,5.54,NA
03458,66,2,1,5.39,4.79,5.0600000000000005,4.92
03462,71,2,1,5.545,4.33,4.78,3.1399999999999997
03470,59,2,1,NA,6.48,4.93,6.08
03474,65,2,1,5.595,3.915,4.92,6.4399999999999995
03476,53,2,1,5.145,4.720000000000001,5.62,5.41
03477,62,2,1,NA,4.18,3.9400000000000004,7.41
03479,61,2,1,NA,5.495,NA,4.93
03485,68,2,1,5.455,5.855,4.29,4.96
03486,50,2,1,NA,3.605,NA,4.75
03488,40,2,1,3.58,NA,4.48,NA
03490,66,2,1,4.545,NA,4.880000000000001,NA
03491,65,2,1,4.24,NA,2.96,NA
03493,40,2,1,3.9150000000000005,5.4399999999999995,3.44,5.6899999999999995
03494,33,2,1,NA,3.245,NA,2.48
03495,54,2,1,4.01,NA,6.01,NA
